Легенда навыков по грейдам,,,,,,,,,,,,
Обязательные    ,,Желательные ,Дополнительные,Опционально,Включает все предыдущие компетенции,,,,,,,
,,Angular,"Angular CLI:
- ng generate (component, service)
- ng build
- ng serve
Angular:
- работа с компонентами, сервисами (внедрение сервиса в компонент, передача данных из родительского компонента в дочерний и обратно, знание стандартов написания компонентов и сервисов)
- работа с template-driven forms
RxJS:
- понимание принципа реактивного программирования, работы с Observable,
- подписка, отписка, понимание назначения .pipe() (опционально)","Angular:
- работа с реактивными формами, умение конструировать форм группы, использование стандартных валидаций
- работа с http
- использование pipe, directive в шаблонах
- понимание принципов инкапсуляции стилей
- понимание принципа работы роутинга
- понимание жизненного цикла компонентов
RxJS:
- использование pipe (tap, map, switchMap, take, takeUntil)
- обработка ошибок
- timer, timeout, interval (опционально)","Angular:
- реактивные формы (написание своих валидаций, вложенные formGroup, formArray, умение отслеживать изменения полей и организовывать взаимосвязь между контролами)
- понимание принципов работы dependency injection, организация новых модулей
- работа с ngxTranslate
- работа с роутингом
RxJS:
- использование subject'ов
- использование остальных pipe
- операторы (опционально)","Angular:
- dependency injection (провайдинг, разделение инстансов)
- реактивные формы (асинхронные валидации, динамические формы)
- управление отслеживанием изменений
- управление рендерингом (DOM-элементами, Renderer2)
- LazyLoading
- HttpInterceptor (опционально)","Angular:
- понимание принципов организации структуры приложения
- разработка своих контролов (ControlValueAccessor)
- Понимание schematich
- анимации
RxJS:
- планировщики (опционально)","Angular:
- выбор готовых angular-совместимых решений
- разработка своих angular-совместимых решений (библиотека компонентов, подключаемые модули)
- angular service workers, PWA
- конфигурирование проекта
- переход на новую версию angular (поддержка актуальной версии)
- оптимизация сборки (опционально)",E1.1-E4.1 (включает все предыдущие компетенции),E1.1-E4.1 (включает все предыдущие компетенции),E1.1-E4.1 (включает все предыдущие компетенции),E1.1-E4.1 (включает все предыдущие компетенции)
,,React,"- Жизненный цикл компонента 
- Понимание и опыт работы с Hook, Hoc, 
- Управление состоянием (useState), передача данных через props.
- useEffect
- React Router для навигации в приложении.
- useMemo, useCallback (опционально)","- Reconciliation в React
- React key
- React.memo
- Написание кастомных Hook и Hoc
- Работа с Context
- Prop drilling и способы его избежать
- Опыт работы и понимание библиотек контроля состояния (Redux/Mobx) (опционально)","- Оптимизация производительности code splitting, ленивая загрузка
- Error Boundaries, реализация в функциональных компонентах 
- React Portal
- Глубокое понимание Redux/Mobx (опционально)","- Проектирование архитектуры React-приложений
- Написание тестов с использованием Jest и React Testing Library
- Настройка интернационализации, react-i18next
- Серверный рендеринг: React Server Components и Next.js для SSR и SSG (опционально)","- Разработка и поддержка общих библиотек компонентов для использования в нескольких проектах
- Storybook (опционально)",,,,,
,Клиентские технологии,"Верстка, CSS","HTML5, CSS3 основы, структурирование свойств, (обязательно)","Препроцессоры, гриды, флексы,  совместимость с браузерами, DOM
Дополнительные:
Знакомство с UI-kitами (bootstrap, material и/или аналогичные)","препроцессоры (SCSS конкретно), гриды, флексы, анимация, DOM.
Совместимость с браузерами (Chrome и Firefox)
Иерархия приоритетов стилей (Каскадность)
 (обязательно)","Разработка адаптивного дизайна через @media и резинового дизайна. 
CSSOM (обязательно)","Critical path CSS
Оптимизация скорости (дополнительно)",E1.1-E3.1 (включает все предыдущие компетенции),E1.1-E3.1 (включает все предыдущие компетенции),E1.1-E3.1 (включает все предыдущие компетенции),E1.1-E3.1 (включает все предыдущие компетенции),E1.1-E3.1 (включает все предыдущие компетенции)
,,,,,Знакомство с BEM (дополнительно),,,,,,,
,,Понимание работы браузера,,"Понимание DOM, что это, для чего и как работает.
 (обязательно)","Main Thread, Call Stack, Event Loop - что это, для чего, как связаны.
Порядок рендеринга.
Порядок загрузки страницы. (обязательно)","Браузерные API.
 (обязательно)","порядок рендеринга, Main Thread, Call Stack, Event Loop, браузерные API, service workers
 (обязательно)",E1.1-E3.1 (включает все предыдущие компетенции),E1.1-E3.1 (включает все предыдущие компетенции),E1.1-E3.1 (включает все предыдущие компетенции),E1.1-E3.1 (включает все предыдущие компетенции),E1.1-E3.1 (включает все предыдущие компетенции)
,,Мобильные технологии,n/a (not applicable at this level) (включает все предыдущие компетенции),n/a (not applicable at this level) (включает все предыдущие компетенции),n/a (not applicable at this level) (включает все предыдущие компетенции),"основы взаимодействия с мобильным устройством (touch-events, virtual pixel sizes, native apis - camera, gps, etc)  (желательно)",Разработка простых приложений на React Native (обязательно) (желательно),Разработка простых приложений на React Native (опционально),Разработка простых приложений на React Native (обязательно),E1.1-E4.1 (включает все предыдущие компетенции),E1.1-E4.1 (включает все предыдущие компетенции),E1.1-E4.1 (включает все предыдущие компетенции)
,,Производительность,n/a (not applicable at this level) (включает все предыдущие компетенции),Знание основных метрик производительности веб-приложений.  (обязательно) (желательно),"Знание заголовков кэширования, понимание разновидностей кэширования и их влияния (обязательно)","Оптимизация кода. Утечки памяти - обнаруживать и бороться.
Понимание оптимизации рендеринга.
Оптимизация бандла. (обязательно)","Детальный разбор и оптимизация производительности веб-приложения на основе devtools (Lighthouse).
 (обязательно)","Детальный разбор и оптимизация производительности веб-приложения на основе devtools (Lighthouse).
 (обязательно)",E1.1-E3.2 (включает все предыдущие компетенции),E1.1-E3.2 (включает все предыдущие компетенции),E1.1-E3.2 (включает все предыдущие компетенции),E1.1-E3.2 (включает все предыдущие компетенции)
,,,,"Общая оценка производительности по devtools (Network, Performance) (желательно)","Общая оценка производительности по devtools (Network, Performance) (обязательно)",Принципы оптимизации кода (обязательно),Базовая оптимизация производительности с использованием Lighthouse,Другие инструменты оценки производительности. (дополнительно),,,,
,,Безопасность,"HTTPS
 (обязательно) (включает все предыдущие компетенции)","Authentication vs Authorization - что означает и в чем отличие
Basic authentication - протокол, как работает (обязательно) (включает все предыдущие компетенции)","Внедрение кода (известно как удалённое включение файла, Remote File Inclusion)

CORS

HTTP-only cookies, новые флаги безопасности в браузерах (заголовки, флаги в куках)

Почему localStorage не безопасен.

CSP (обязательно)","Межсайтовый скриптинг (XSS)
DDOS, подбор паролей - какие есть средства защиты


Хеширование паролей, Понимание Salt и для чего нужна.

Виды авторизации для API
roave/security-advisories
Как защитить свой код, как проверить код на безопасность?

Протокол OAuth2:
- участники (user, client, auth-server, resource)
- 4 варианта, под какие кейсы подходят
- refresh token - принцип
- scopes что такое
OpenID Connect:
- отличия от OAuth2
- что определяет из OAuth2

Основы keyCloack

 (обязательно)","Настройка локального Registry
 (обязательно)","Межсайтовый скриптинг (XSS)
DDOS, подбор паролей - какие есть средства защиты


Хеширование паролей, Понимание Salt и для чего нужна.

Виды авторизации для API
roave/security-advisories
Как защитить свой код, как проверить код на безопасность?

Протокол OAuth2:
- участники (user, client, auth-server, resource)
- 4 варианта, под какие кейсы подходят
- refresh token - принцип
- scopes что такое
OpenID Connect:
- отличия от OAuth2
- что определяет из OAuth2

Основы keyCloack

 (обязательно)","Настройка локального Registry
 (обязательно)",,E2.2-E4.3 (включает все предыдущие компетенции),E2.2-E4.3 (включает все предыдущие компетенции)
,,,,,,,,Иметь представление про SQL инъекции (желательно),,,,
,БД,MongoDB,n/a (not applicable at this level) (включает все предыдущие компетенции),n/a (not applicable at this level) (включает все предыдущие компетенции),n/a (not applicable at this level) (включает все предыдущие компетенции),n/a (not applicable at this level) (включает все предыдущие компетенции),"Реляционные и нереляционные БД, отличия
Документы и коллекции, типы данных
+ CRUD операторы, sort, skip, limit, count, условные и логические операторы
Проектирование БД, модели данных, lookup
Группировка, агрегации, транзакции (обязательно)",E3.1-E3.2 (включает все предыдущие компетенции),"Репликация, шардинг
 (обязательно)",E1.1-E3.2 (включает все предыдущие компетенции),E1.1-E3.2 (включает все предыдущие компетенции),E1.1-E3.2 (включает все предыдущие компетенции)
,,Redis/ KeyDB,n/a (not applicable at this level) (включает все предыдущие компетенции),n/a (not applicable at this level) (включает все предыдущие компетенции),n/a (not applicable at this level) (включает все предыдущие компетенции),n/a (not applicable at this level) (включает все предыдущие компетенции),"Понимание принципа работы, плюсы и минусы, примеры использования

Операторы работы с данными, expire

Применение в проектах, кэширование

Применение в проектах, оптимизация, профилактика проблем (обязательно)",E3.1-E3.2 (включает все предыдущие компетенции),"Репликация, кластеризация
 (обязательно)",E1.1-E3.2 (включает все предыдущие компетенции),E1.1-E3.2 (включает все предыдущие компетенции),E1.1-E3.2 (включает все предыдущие компетенции)
,Серверные технологии,Понимание работы веб-сервера,n/a (not applicable at this level) (включает все предыдущие компетенции),"Что такое веб-сервер, для чего он, какие технологии для его реализации существуют. (опционально)","Основы Nginx. Понимание работы протокола HTTP. Какие существуют HTTP-запросы.
 (желательно)","Понимание конфига для Nginx, кэширование, логирование, проксирование, управление памятью.
 (обязательно)","Написание конфига для Nginx, кэширование, логирование, проксирование, управление памятью. (обязательно)",,E1.1-E3.1 (включает все предыдущие компетенции),E1.1-E3.1 (включает все предыдущие компетенции),E1.1-E3.1 (включает все предыдущие компетенции),E1.1-E3.1 (включает все предыдущие компетенции)
,,Node.js,n/a (not applicable at this level) (включает все предыдущие компетенции),n/a (not applicable at this level) (включает все предыдущие компетенции),"Основы Node.js. Написание приложения вроде ""Hello world!"" (желательно)","Работа с Express.js, роутинг. Подключение БД,  CRUD. Запросы, отправка форм. JSON.
Знание основ nest.js
 (желательно)",E1.1-E2.2 (включает все предыдущие компетенции),Nest.js (желательно),E1.1-E3.2 (включает все предыдущие компетенции),E1.1-E3.2 (включает все предыдущие компетенции),E1.1-E3.2 (включает все предыдущие компетенции),E1.1-E3.2 (включает все предыдущие компетенции)
,,API,n/a (not applicable at this level) (включает все предыдущие компетенции),"Основы и базовые принципы архитектуры REST
 (желательно)","REST - HTTP methods, stateless
Коды ответов сервера, заголовки
- Authorization
- Content-Type
- Content-Disposition
- User-Agent
- ETag
- Cache-Control (обязательно)",E1.1-E2.1 (включает все предыдущие компетенции),"Дополнительные:
GraphQL - Schema definition, Query, Mutation, Subscription
Работа с контрактами Pact.io (дополнительно)",,"Следить за актуальностью swagger
 (обязательно)",,E1.1-E3.2 (включает все предыдущие компетенции),E1.1-E3.2 (включает все предыдущие компетенции)
,,"Docker, CI",n/a (not applicable at this level) (включает все предыдущие компетенции),n/a (not applicable at this level) (включает все предыдущие компетенции),n/a (not applicable at this level) (включает все предыдущие компетенции),"Понимание принципов и задач CI/CD.
Основы Docker, что такое Docker Image, Docker Volumes. Консольные команды для работы с ними.
 (желательно)",Знание и умение писать Gitlab CI (обязательно),"Возможность написать минимальный конфиг, чтобы билд фронтового приложения располагался внутри Docker-контейнера. (обязательно)","Умение писать конфиги для деплоя микросервисного приложения с возможностью запуска на сервере, зная только доступные порты.
 (обязательно)",E3.1-E3.2 (включает все предыдущие компетенции),E3.1-E3.2 (включает все предыдущие компетенции),E3.1-E3.2 (включает все предыдущие компетенции)
,Рабочие практики,Coding & Refactoring,n/a (not applicable at this level) (включает все предыдущие компетенции),"Чистый код: 
- наименование классов, методов, переменных 
- должны отображать смысл решаемой проблемы, намерения разработчика
- компактные методы (обязательно)","Рефакторинг в пределах одной единицы (функция, метод, класс) 
Code Style - соблюдать принятый в проекте (обязательно)","Использование паттернов:
- Factory, Singleton, Decorator

DRY, KISS, YAGNI:
- общее понимание (желательно)",Умение проводить рефакторинг в рамках модуля. (обязательно),"""-Патерны проектирования в JS Creational/Structural/Behavioral (Constructor, Mediator, Module, Command, Factory, Observer, Singletion, Decorator, Fasade - какие к чему относятся, иметь понимание и представление самих патернов. 

SOLID:
- OCP (Open Close Principle - O из SOLID) - применение при создании классов
- ISO (Interface Segregation Principle - I из SOLID) - применение при проектировании интерфейсов
- DIP (Dependency Injection Principle - D из SOLID) - применение при проектировании зависимостей классов
- LSP (Liskov Substitutio Principle - L из SOLID) - применение при проектированиие зависимостей классов""
 (желательно)","Реинжиниринг (смена фреймворков, парадигм, разделение монорепозиториев на несколько независимых приложений)
 (обязательно)",E3.1-E3.2 (включает все предыдущие компетенции),"""GRASP (general responsibility assignment software patterns):
- Informational Expert (Информационный эксперт)
- Creator (Создатель)
- Controller (Контроллер)
- Low Coupling (Слабое зацепление)
- High Cohesion (Высокая связность)
- Polymorphism (Полиморфизм)
- Pure Fabrication (Чистая выдумка)
- Indirection (Посредник)
- Protected Variations (Устойчивость к изменениям)
Связь GRASP с GoF, DRY, SOLID, DDD:
- с помощью чего покрываются 9 принципов""
 (желательно)",E1.1-E5.1 (включает все предыдущие компетенции)
,,,,,"Чистый код: - комментирование классов - не то что делает, а какую проблему решает (намерение, а не реализация) - хорошие vs плохие коментарии 
Понятие о SOLID
Понятие о паттернах(Factory, Singleton, Decorator)  (желательно)",,"- Представление о цикломатической сложности. Уметь рассчитать значение для метода с точностью до порядка
- полиморфизм из ООП (желательно)",,,,,
,,Testing,n/a (not applicable at this level) (включает все предыдущие компетенции),"Test Pyramid - знать, что это такое.
 (желательно)","Умение писать тесты.

Test Pyramid - понимать иерархию, иногда следовать принципам при написании тестов.
Уметь обеспечивать частичное покрытие разрабатываемго функционала unit-тестами 

 (желательно)","Test Pyramid - понимать иерархию, часто следовать принципам при написании тестов.
Уметь полностью покрыть unit-тестами разрабатываемый функционал. positive, negative сценарии.

Инструменты для тестирования в браузере (снепшоты) и без браузера (jsdom)

Mock - использование для unit-тестов. (желательно)","Test Pyramid - постоянное следование принципам при написании тестов.
Mock, Spy, Stub - различия и понимать где что нужно применять.
Ревью покрытия тестами задач Junior-a и Middle-а. (обязательно)","Test Pyramid - постоянное следование принципам при написании тестов.
Mock, Spy, Stub - различия и понимать где что нужно применять.
Ревью покрытия тестами задач Junior-a и Middle-а. (обязательно)",E2E Тестирование (обязательно),Покрытие кода тестами - unit и E2E (обязательно) (включает все предыдущие компетенции),E1.2-E4.1 (включает все предыдущие компетенции),E1.2-E4.1 (включает все предыдущие компетенции)
,,Debugging,n/a (not applicable at this level) (включает все предыдущие компетенции),"Использовать простые инструменты IDE и браузера:
- breackpoint
- навигация по коду при отладке:
-- step over
-- step in
-- step out
- watches (обязательно)","Поиск причин, а не лечение симптомов
- вывод и чтение stacktrace

Использовать простые инструменты IDE:
- breackpoint с условиями
- изменение значений переменных в runtime
- сброс фрейма (обязательно)","Поиск причин, а не лечение симптомов: - подход бинарного поиска (делим код на 2 части, дебажим одну, дальше делим часть в которой нашли еще на 2) - подход упрощения проблемы - убираем части кода, в которых нет бага. Пример fun f() = (g();h();k()) убираем вызовы g и h, так как баг проявляется в k. И так далее в глубину (обязательно)",E1.1-E2.2 (включает все предыдущие компетенции),E1.1-E2.2 (включает все предыдущие компетенции),"Поиск причин, а не лечение симптомов
Комплексное применение инструментов мониторинга и отладки:
- логи (файлы и ELK)
- метрики (Grafana)
- аггрегатор ошибок (sentry)
 (обязательно) (включает все предыдущие компетенции)","Поиск причин, а не лечение симптомов
Комплексное применение инструментов мониторинга и отладки:
- логи (файлы и ELK)
- метрики (Grafana)
- аггрегатор ошибок (sentry)
 (обязательно)",E1.1-E4.2 (включает все предыдущие компетенции),E1.1-E4.2 (включает все предыдущие компетенции)
,,Monitoring,n/a (not applicable at this level) (включает все предыдущие компетенции),n/a (not applicable at this level) (включает все предыдущие компетенции),n/a (not applicable at this level) (включает все предыдущие компетенции),n/a (not applicable at this level) (включает все предыдущие компетенции),"Построение дашбордов в Grafana
Prometheus - стандартный мониторинг (обязательно)",Sentry (желательно),E1.1-E3.2 (включает все предыдущие компетенции),E1.1-E3.2 (включает все предыдущие компетенции),E1.1-E3.2 (включает все предыдущие компетенции),E1.1-E3.2 (включает все предыдущие компетенции)
,,Software Design & Architecture,n/a (not applicable at this level) (включает все предыдущие компетенции),n/a (not applicable at this level) (включает все предыдущие компетенции),n/a (not applicable at this level) (включает все предыдущие компетенции),Алгоритмическая сложность (обязательно),"Clean Architecture - знание:
- что такое
- какие слои есть
- направление потока данных
- направление зависимостей в слоях (дополнительно)","Что такое:
- Monolithic Architecure
- Service Oriented Architecture
- Microservices Architecture
Основные термины, участники, способы взаимодействия. Плюсы и минусы подходов.
Clean Architecture - часто применяет (дополнительно)","Clean Architecture - постоянно применяет


Архитектура приложения:
Паттерны MVC, MVVM, MVP (желательно)",E1.1-E3.2 (включает все предыдущие компетенции),"Паттерны микросервисной архитектуры:
- Deployment patterns (serverless в частности)
- External API (API Gateway)
- Observability
- Service discovery
- Communication style (более глубоко)
- Idempotent Consumer - еще раз и реальные применения
- Reliability
- Security (желательно)","Event Sourcing - идея, подход, поток данных CQRS Domain Event (желательно)"
Софт скилы,Процессы и стандарты,,"Уточнение всего с техническим наставником: инициативы, решения, вопросы и т.д. (обязательно)",E1.1 (включает все предыдущие компетенции),Самостоятельное решение вопросов. (обязательно),E1.1-E2.1 (включает все предыдущие компетенции),"Отсутствие багов в sentry
 (обязательно)","Взаимодествие с ПМом, подсвечивание проблем в проекте, ответственность за рефакторинг проекта
Инициативы по изменению технологий и правил разработки (обязательно)",Проработка стандартов и правил разработки (обязательно),Разбор инцидентов и проработанные способы их предотвращения (обязательно),Внедрение стандартов и правил разработки (обязательно),E2.2-E5.1 (включает все предыдущие компетенции)
,Инициативы,Улучшения,n/a (not applicable at this level) (включает все предыдущие компетенции),n/a (not applicable at this level) (включает все предыдущие компетенции),Предложения по развитию своего проекта (конкретные задачи/решения взятые в работу) (желательно),Разработка универсальных и полезных решений в своем проекте (дополнительно),,Инициирование внедрения технических решений в другие проекты (по согласованию с архитекторами) (обязательно),,E1.1-E3.2 (включает все предыдущие компетенции),E1.1-E3.2 (включает все предыдущие компетенции),E1.1-E3.2 (включает все предыдущие компетенции)
,,Техкомы,n/a (not applicable at this level) (включает все предыдущие компетенции),n/a (not applicable at this level) (включает все предыдущие компетенции),n/a (not applicable at this level) (включает все предыдущие компетенции),"- Инициирование обсуждений на техкомах с предложениями решений (учитываются взятые в работу по согласованию с архитекторами)
- Проведение техкомов на технические темы (результаты применения новых инструментов, подходов) (желательно)",,"- Инициирование обсуждений на техкомах с предложениями решений (учитываются взятые в работу по согласованию с архитекторами)
- Проведение техкомов на технические темы (результаты применения новых инструментов, подходов)",,E3.1-E3.2 (включает все предыдущие компетенции),E3.1-E3.2 (включает все предыдущие компетенции),E3.1-E3.2 (включает все предыдущие компетенции)
,Обучение,Наставничество,n/a (not applicable at this level) (включает все предыдущие компетенции),n/a (not applicable at this level) (включает все предыдущие компетенции),n/a (not applicable at this level) (включает все предыдущие компетенции),Наставничество в своей команде (опционально),,"Развитие и обучение сотрудников:
- рекомендации по изучению технологий
- проведение семинаров / техкомов / консультаций
- сбор обратной связи по знаниям
 (обязательно)",,E3.1-E3.2 (включает все предыдущие компетенции),E3.1-E3.2 (включает все предыдущие компетенции),E3.1-E3.2 (включает все предыдущие компетенции)
,,Сертификация,n/a (not applicable at this level) (включает все предыдущие компетенции),n/a (not applicable at this level) (включает все предыдущие компетенции),n/a (not applicable at this level) (включает все предыдущие компетенции),n/a (not applicable at this level) (включает все предыдущие компетенции),n/a (not applicable at this level) (включает все предыдущие компетенции),Проведение аттестаций (желательно),,E4.2-E4.3 (включает все предыдущие компетенции),E4.2-E4.3 (включает все предыдущие компетенции),E4.2-E4.3 (включает все предыдущие компетенции)
