Технические навыки (Tech Skills),,,,,,,
Навык/Вес,0 - no experience,1 - novice,2 - intermediate,3 - advanced,4 - expert,,
Делегирование,опыт отсутствует,Не может и / или не хочет делиться любыми своими задачами.,"Может делегировать задачи коллегам, предоставляет требуемую для выполнения задачи информацию. На достаточном уровне объясняет, в чём суть задачи. Контролирует выполнение задачи.","При постановке задач коллегам учитывает их особенности, формулирует и ставит задачу исходя из них. На требуемом уровне регулярности следит за выполнением, своевременно помогает, следит за сдерживанием сроков и качеством, даёт полезную обратную связь по результатам выполнения задачи. ","Всё перечисленное в пунктах 1-3, и помимо этого сотрудникам приятно работать с поставленными им задачами.",,
Самостоятельность,опыт отсутствует,"Может работать над задачей, если она разделена на очень подробные подзадачи. Задает вопросы, даже если не трудно найти ответы самостоятельно.","В основном в состоянии самостоятельно работать в определенных областях. Требуется небольшой контроль (отслеживание контрольных точек сроков и качества выполнения). При недостатке информации понимает это, своевременно задаёт вопросы и эскалирует проблемы.",Способен работать полностью независимо в определенных областях. Обеспечивает регулярную обратную связь об обновлении прогресса. Способен самостоятельно принимать решения.,"Умеет работать полностью независимо, нужен всего лишь доступ к информации.",,
Тайм-менеджмент,опыт отсутствует,"Имеет трудности с планированием, может увлечься процессом, не смотря на сроки. Может не уведомить своевременно о пропущенных сроках завершения задач или иных проблемах.","Умеет оценивать разные задачи, своевременно сообщает о возможных срывах сроков и причинах, иных проблемах. Может работать с несколькими задачами, но нуждается в советах в расставлении приоритетов.","Способен вести список краткосрочных и долгосрочных задач, расставлять приоритеты, способен решить в срок все краткосрочные задачи, некоторые ограничения с долгосрочным планированием. Нет необходимости в промежуточном контроле.","Может прекрасно планировать и решать в срок любые задачи. Может работать с параллельными проектами / деятельностями не связанных с проектами, такими, как презентации, исследования, и т.д.",,
Общее отношение к работе,опыт отсутствует,"Имеет проблемы с производительностью, необходимо подталкивать сделать что-то в правильном направлении.","Регулярно работает. Деятель. Однако редко проявляет инициативу, редко повышает результаты.",Всегда обдумывает и анализирует подходы к своей работе. Своевременно предлагает и реализует улучшения рабочего процесса.,"Энтузиаст, проактивный в своем подходе к работе. Адаптирует процессы под потребности проекта / людей.",,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Навыки в тестировании,0 - no experience,1 - novice,2 - intermediate,3 - advanced,4 - expert,,
Ручное тестирование,,,,,, ,
Тестирование по готовым чек-листам,опыт отсутствует,Имеет небольшой опыт прохождения чек-листов.,"Имеет большой опыт (от 0,5 лет) регулярного прохождения чек-листов.","Находит по тестам косвенные баги, правит тесты на лету, умеет смотреть ""по сторонам"" от проходимых чек-листов","При прохождении применяет аналитические знания, в состоянии найти проблемы даже без глубокого понимания бизнес-логики приложения. Создает новые идеи проверок на основе текущих и предсказывает возможные проблемы.",,
Тест-анализ,опыт отсутствует,"Понимает, что такое тест-анализ","Использовал на проектах тест-анализ, умеет анализировать незнакомые продукты.",Много и успешно использовал на проектах тест-анализ. ,"Использует постоянно в практике все основные техники тест-анализа, является экспертом в их использовании.",,
Тестирование требований,опыт отсутствует,"Понимает, что такое тестирование требований, когда нужно, когда применимо.
Выясняет вопросы, исследует зависимости.","Знает основные критерии для требований, умеет определять соответствие требований этим критериям.
Имеет практический опыт в анализе и тестировании требований.","Имеет успешный опыт тестирования требований.
Способен выполнять полный цикл анализа и тестирования требований, выполняет глубокий анализ требований на основе специфики продукта (разъясняет вопросы, исследует бизнес-логику, вносит предложения, как улучшить приложение); не требуется дополнительный контроль.",Имеет большой успешный опыт тестирования требований (от года).,,
Исследовательское тестирование,опыт отсутствует,"Умеет самостоятельно тестировать незнакомый продукт без тестовой документации.
В состоянии найти дефекты пользовательского интерфейса и некоторых очевидных дефектов, связанных с логикой в хорошо известных приложениях; некоторые серьезные проблемы могут быть пропущены, если нет контроля.","Умеет самостоятельно тестировать незнакомый продукт без тестовой документации.
В состоянии найти большинство дефектов пользовательского интерфейса и очевидных дефектов, связанных с логикой в хорошо известных приложениях","Успешно проводит тестирование продукта без тестов, знаком с основными чит-листами, находит много ошибок в свободном тестировании.
Предсказывает, какие области могут быть затронуты новым функционалом, анализирует причины с разработчиками и / или QA командой; процент пропущенных дефетов является очень низким и среди них нет критических.","Знаком с основными методами исследовательского тестирования, быстро вникает в продукт, находит много критичных для пользователей ошибок.
Способен найти скрытые зависимости в приложениях; находит критические дефекты, связанные с бизнес-логикой.",,
Документирование,,,,,,,
Написание чек-листов,опыт отсутствует,"Имеет понимание, как разрабатываются чек-листы, знает, для чего они нужны","Имеет опыт работы с чек-листами, разрабатывал чек-листы","Разрабатывал чек-листы, которые использовались на проекте, умеет дорабатывать чужие чек-листы, проводит ревью","Разрабатывал чек-листы, способен написать чек-лист в рамках бизнес-сценариев по всему проекту",,
Написание тест-кейсов,опыт отсутствует,"Знает, как выглядят формальные тестовые сценарии.
Понимает основные принципы, может выполнять существующие тест-кейсы и писать свои по шаблону","Знает, как выглядят формальные тестовые сценарии.
Способен обновить существующие и написать тест-кейсы. ","Знает, как должен выглядеть тест-кейс, его структуру / формат; способен создать список тест-кейсов, который охватывает все возможные сценарии. ",К тест-кейсам не возникает вопросов у остальных участников команды. Тест-кейсы сожержат исчерпывающую информацию и при этом не перегружены.,,
Разработка тестовой документации фичам,опыт отсутствует,Имеет опыт работы по написанию тестовой документации в рамках небольших фич,Имеет опыт поддержки и актуализации тестовой документации. Учитывает существующую документацию в тестировании.,"Умеет разрабатывать тестовую документацию на основе аналитики. 
Способен определить недостатки документации, способен поддерживать и обновлять документацию со значительными изменениями; собирать необходимую информацию.","Умеет разрабатывать, поддерживать и ревьюить чужую тестовую документацию. 
Имеет понимание того, что она должна содержать.",,
Локализация и документирование дефектов,опыт отсутствует,Умеет заводить понятные дефекты по шаблону.,"Работал с системами баг-трекинга, заводит понятные ошибки.","Точно локализует причины большинства ошибок, локализует, генерализирует, предоставляет всю требуемую информацию.","Умеет читать код передаваемый в тест, найти ошибку в коде, скрипте. ",,
Платформо-ориентированное тестирование,,,,,,,
Тестирование веб-сервисов,опыт отсутствует,Понимает архитектуру веб-систем и особенности веб-тестирования.,"Использует инструменты веб-тестирования (браузерные, сетевые и т.д.).",Понимает архитектуру и разбирается в межмодульных взаимосвях в рамках модулей своей команды. С помощью инструментов для веб-тестирования может с высокой точностью локализовать проблему,Пункты 1-3 плюс понимает архитектуру и межмодульные взаимосвязи всего приложения,,
Тестирование мобильных приложений,опыт отсутствует,Тестировал мобильные приложения.,"Знает принципы юзабилити, специфичные для всех мобильных платформ, знает инструменты виртуализации для мобил.","Участвовал в тестировании мобильных проектов (минимум по 1 на платформах iOs, Android).",Участвовал в тестировании мобильных проектов на разных платформах. Хорошо понимает их специфику.,,
,,,,,,,
Должность,Младший инженер-тестировщик,,Инженер-тестировщик,, Ведущий инженер-тестировщик,,Старший инженер-тестировщик
Аттестационный балл ,19,,43,,62,,78
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Навыки в технической области,,,,,,,
"Автоматизированное тестирование API, использование Jmeter, postman. ",,0,,,,,
SQL,,,,,,,
Знание тестового ПО подразделения,,,,,,,
"Инструменты тестирования мобильных приложений. Android Studio, Charles.",,,,,,,
Консоль,,,,,,,
Навыки в тестировании,,,,,,,
Ручное тестирование,,0,,,,,
Тестирование по готовым чек-листам,,,,,,,
Тест-анализ,,,,,,,
Тестирование требований,,,,,,,
Исследовательское тестирование,,,,,,,
Документирование,,,,,,,
Написание чек-листов,,,,,,,
Написание тест-кейсов,,,,,,,
Разработка тестовой документации фичам,,,,,,,
Локализация и документирование дефектов,,,,,,,
Платформо-ориентированное тестирование,,,,,,,
Тестирование веб-сервисов,,,,,,,
Тестирование мобильных приложений,,,,,,,
Социальные навыки (Soft Skills),,,,,,,
Ответственность,,0,,,,,
Коммуникации,,,,,,,
Стрессоустойчивость,,,,,,,
Сотрудничество и координация действий,,,,,,,
Наставничество,,,,,,,
Делегирование,,,,,,,
Самостоятельность,,,,,,,
Тайм-менеджмент,,,,,,,
Общее отношение к работе,,,,,,,
Итог,,0,,,,,
