,,Обязательные,,Обязательные для текущего грейда,,,,,,,,,,,
,Quality & Testing,Coding & Refactoring,"Стандартные правила качественной разработки. Не относится к нашим стандартам. Наследование/композиция, разделение интерфейсов, легко тестируемый код. Уместное комментирование, структура кода, паттерны - знание, применение, уместное применение/понимание где нужно, принципы DRY, SOLID, разделение по слоям, абстракции.
Анализ кода, находить и устранять проблемы в коде, правильно расставлять приориеты. Выполнение оставленных TODO.
Писать код, который проходит quality gate при CI","Соблюдение Java code convention
Писать код в стиле принятом в проекте, даже если он не соответствует стандартам","Чистый код: 
- наименование классов, методов, переменных 
- должны отображать смысл решаемой проблемы, намерения разработчика
- компактные методы","Чистый код:
- комментирование классов - не то что делает, а какую проблему решает (намерение, а не реализация) 
- хорошие vs плохие коментарии
SOLID:
- SRP - понимание с примерами
- ISP - понимание с примерами
- написание тестируемых классов
GoF Design Patterns:
- типы паттернов (порождающие, структурные, поведенческие)
- общее знание, какие проеблемы решают
- Порождающие (Builder, Factory Method, Singleton) подробно с вариантами","SOLID:
- OCP - понимание с примерами
- DIP - понимание с примерами
GoF Design Patterns:
- Структурные (Adapter, Decorator, Facade, Proxy) подробно с вариантами
DRY:
- общее понимание","Слоевая модель (Clean Architecture aka Hexagonal Architecture):
- знание слоевой модели
- какие слои есть
- для чего предназначен каждый слой
- для чего вообще нужна слоевая модель
- полиморфизм из ООП
SOLID:
- LSP - понимание с примерами
GoF Design Patterns:
- Поведенческие (Chain of Responsibility, Command, Mediator, Observer, Strategy, Template Method) подробно с вариантами","DRY:
- применение при проектировании классов (фич)
- понимать, что относится не к повторению кода, а к повторению дреализаций домена
GoF:
- Strategy vs Chain of Responsibility
- варианты их реализаций
- где и как в Spring реализованы GoF паттерны
- примеры как в Spring реализовать паттерны
SOLID:
- OCP (Open Close Principle - O из SOLID) - применение при создании классов
- ISO (Interface Segregation Principle - I из SOLID) - применение при проектировании интерфейсов
- DIP (Dependency Injection Principle - D из SOLID) - применение при проектировании зависимостей классов
- LSP (Liskov Substitutio Principle - L из SOLID) - применение при проектированиие зависимостей классов","Слоевая модель (Clean Architecture aka Hexagonal Architecture):
- пример разбиения на слои
- направленность потока данных (http запрос, обработка, логика, запись в бд, ответ)
- направленность зависимостей между слоями (он же D из SOLID)","Слоевая модель (Clean Architecture aka Hexagonal Architecture):
- Application Layer - назначение, отличие от Domain и Api слоёв
- Interactor (Use Case) - какую ответственность несет. На каком слое интерфейс, на каком реализация ","Слоевая модель (Clean Architecture aka Hexagonal Architecture): 
- применение в проекте - рефакторинг в соответствии с моделью
- проектирование моудля и фич в сотоветствии со слоевой моделью","GRASP (general responsibility assignment software patterns):
- Informational Expert (Информационный эксперт)
- Creator (Создатель)
- Controller (Контроллер)
- Low Coupling (Слабое зацепление)
- High Cohesion (Высокая связность)
- Polymorphism (Полиморфизм)
- Pure Fabrication (Чистая выдумка)
- Indirection (Посредник)
- Protected Variations (Устойчивость к изменениям)
Связь GRASP с GoF, DRY, SOLID, DDD:
- с помощью чего покрываются 9 принципов",E1.1-E5.1,E1.1-E5.1
,,,,,"SOLID: 
- общее понимание 
GoF Design Patterns:
- типы паттернов (порождающие, структурные, поведенческие)
- общее знание, какие проблемы решают",,,,,,,,,,
,,Databases (SQL/NoSQL),"Написание запросов. План запроса. Оптимизация. Статусы транзакций. Диагностика медленных запросов. Партиционирование. NoSQL - какие есть, для каких задач какие применять. Redis, MongoDB, ElasticSearch. Хранилища данных - FTP, S3, Android File Storage. Комментирование таблиц. Построение индексов в ElasticSearch, как хранить локализованные данные.  ","Типы данных:
- целочисленные, вещественные, строковые, даты
SQL:
- SELECT, INSERT, UPDATE, DELETE, JOIN (виды),WHERE
- UPSERT - в PostgreSQL","Типы данных: 
- json, jsonb, 
- последовательности (sequence)
- кастомные типы и преобразование типов
SQL:
- HAVING (отличия where и having), 
- GROUP BY, DISTINCT
- LIKE vs ILIKE - сравнение строк
- EXISTS, ANY, ALL, SOME, IN","SQL:
- USING, TEMP TABLE, WITH
Процедуры:
- процедуры, функции, циклы, курсоры, CALL
DDL:
- CREATE, ALTER, DROP, TRUNCATE, COMMENT, RENAME
- IF EXISTS - специфичные DDL для PostgreSQL
PostreSQL (специфика):
- information_schema - для чего эта таблица, что там
Транзакции - что это, зачем нужны","Проектирование: 
- Нормальные Формы - 1,2,3
- ACID (Atomicity, Consistency, Isolation, Durability)
- внешние ключи (типы, производительность)
- триггеры
- схемы БД
Оптимизация:
- explain (понимание плана запроса)
- analize
- типы индексов (где какие использовать)","PostgreSQL (специфика):
- VACUUM, FULL VACUUM (и почему не надо самим запускать)
- REINDEX
- CONCURRENTLY - конкурентное создание/удаление индекса
Инструменты:
- pgpool
- extension
Оптимизация: 
- индекс (зачем), 
- explain и план запроса (понимание где нужны индексы) 
Версионные и блокировочные БД (deadlock)
- какие есть
- отличия подходов","Проектирование:
- уместная денормализация
Оптимизация:
- индексы - типы, как устроены, влияние на производительность
- транзакции (явные, неявные), 
- уровни изоляций транзакций
- статусы транзакций, id транзакции","Проектирование:
- партиционирование vs шардирование
- партиционирование
- индексы с партициями
- производительность чтения/записи в партициях
- репликация
Блокировки: 
- гранулярность
- режимы exclusive, shared
Мониторинг БД спец таблицы PostgreSQL: 
- pg_locks
- pg_stat_activity
- pg_stat_user_tables","PostgreSQL (специфика):
- WAL (write-ahead loggin)
- буферный кэш",E1.1-E4.2,E1.1-E4.2,E1.1-E4.2,E1.1-E4.2
,,,,,,,,,,,"NoSQL (опыт работы по задачам в проекте):
- Elasticsearch
- Redis
- oter",,,,
,,REST API,"OpenApi3 спецификация - знать, писать контракты, с примерами и валидацией (тоже пока обсуждается). Дизайн апи по методу Contract-First.. Разбираться, применять. API http статусы в соответствии с нашими стандартами. Различия REST Level 0, 1, 2.",,,,,,,,,,,,
,,AMQP,"Основные понятия очередей и протокола. Отличие протоколов AMQP, JMS. Сопосбы организации очередей. Брокеры RabbitMQ, Kafka их особенности и различия. DQL и Spring Cloud Streams.",,,,,,,,,,,,
,,Testing,"unit, integration, пирамида тестов от дядюшки Мартина Фаулера. Позитивные сценарии, граничные условия, негативные сценарии. Область покрытия. Тесты компонентов. Нагрузочные тесты (возможно). JUnit, Mockito, Testcontainers, WireMock, AssertJ, Spring Test, Spring Boot Test.",n/a (not applicable at this level),"Test Pyramid - знать, что это такое.
Покрытие unit-тестами (JUnit) отдельных задач:
- positive сценарии
Mockito - использование для unit-тестов. Mock-объекты для макетирования зависимостей. Аннотации @Mock (из Mockito), @MockBean (из Spring Boot Test)","Test Pyramid - понимать иерархию, иногда следовать принципам при написании тестов.
Покрытие unit-тестами разрабатываемго функционала:
- positive сценарии
- negative сценарии
Mockito - использование для unit-тестов. Spy-объекты (@SpyBean). Captor - для аргументов.
Узкие интеграционные тесты (narrow integration tests) - тестирование границ взаимодествия с внешним миром:
Testcontainers - запись/чтение БД
WireMock - вызовы других сервисов","Test Pyramid - понимать иерархию, часто следовать принципам при написании тестов.
Ревью покрытия тестами задач Junior-a.
Покрытие unit-тестами разрабатываемого функционала. positive, negative и edge сценарии.","Test Pyramid - постоянное следование принципам при написании тестов.
Mockito - Mock, Spy, Stub - различия и понимать где что нужно применять.
Интеграционные тесты:
- контроллеры с применением Spring Test Framework","Unit-тесты
Применение Spring Test Framework и JUnit для:
- тестирование автоконфигураций (стартеров)
- JUnit правила @Rule, @ClassRule, @MethodRule и их различия (@ExtendWirh для JUnit 5)
Интеграционные тесты:
Применение Spring Test Framework для:
- тесты Repository слоя с транзакционностью
- @SpringBootTest - тестирование крупных функциональных блоков (компонентов)","Интеграционные тесты и семейства Spring Test Framework
- Spring Security Test - тестирование прав и доступов
- Spring Cloud Stream Test
- Spring Integration Test","Contract Test:
Consumer-Driven Contract Test - понимение и применение подхода при взаимодействии с командами фронта и другими потребителями API модуля.
Тестирование AMQP",E1.2-E4.2,E1.2-E4.2,E1.2-E4.2,E1.2-E4.2
,Debugging & Observability,Debugging,"Умение пользоваться инструментами IDE, Логи, аггрегатор ошибок, трассировка, мониторинг, профилирование, pgbadger. Разные виды багов и методы их выявления. Понимать по набору данных от инструментов причины ошибок","Использовать простые инструменты IDE:
- breackpoint
- навигация по коду при отладке:
-- step over
-- step in
-- step out
- watches","Поиск причин, а не лечение симптомов
Использовать простые инструменты IDE:
- breackpoint с условиями
- изменение значений переменных в runtime
- сброс фрейма","Поиск причин, а не лечение симптомов
- писать локаничные debug логи с выводом состояний (значений параметров)
- вывод и чтение stacktrace","Поиск причин, а не лечение симптомов:
- проверки (Assertions) состояний переменных и инвариантов при написании кода
- использование аннтоаций @Nonnull, @Nullable для параметров и возвращаемых значений из javax (JSR-305)
- знать аннотации JSR-305, их различия и места применения. Реализацию от findbugs","Поиск причин, а не лечение симптомов
- подход бинарного поиска (делим код на 2 части, дебажим одну, дальше делим часть в которой нашли еще на 2)
- подход упрощения проблемы - убираем части кода, в которых нет бага. Пример fun f() = (g();h();k()) убираем вызовы g и h, так как баг проявляется в k. И так далее в глубину
- подход проверки гипотез тестами - берем простую гипотезу о баге, пишем простой тест. Если тест проходит, придумываем другую гипотезу. Процесс направлен на уменьшение вариантов проблем и упрощения гипотез","Поиск причин, а не лечение симптомов
- подход кластеризации багов - множество багов можно классифицировать по общим признакам. Таким образом можно проверять только по одному багу из каждого класса
- использование инструмента аггргации и классификаци багов sentry.io","Поиск причин, а не лечение симптомов
- использование инструментов трассировки запросов для поиска проблем при межмодульном взаимодействии (pinpoint, zipkin, jaeger)
- jmx - поиск причин блокировки потоков и ожидания потоков и этих мест по stacktrace
- использование pgBadger для поиска и оптимизации запросов БД","Поиск причин, а не лечение симптомов
- использование метрик grafana (jvm, cpu, threads, pools) для комплексного диагностирование проблем
- влияние ram, cpu, thrad states и db connections друг на друга - корреляция отклонений и анализ причины по корреляции
Комплексное применение инструментов мониторинда и отладки:
- debugger (IntelliJ)
- логи (файлы и ELK)
- трассировка запросов
- метрики (Grafana)
- аггрегатор ошибок (sentry)
- JMX (Java Mission Control или VisualVM) - состояния потоков
- оптимизация SQL (pgBadger)",E1.1-E4.2,E1.1-E4.2,E1.1-E4.2,E1.1-E4.2
,,Observability,"Всё что касается мониторинга/метрик. Понимание где нужно Gauge, где Timed, их отличия. Что такое RED/USE/Four Golden Signals. Что такое SLA бизнес-функционала. Правильно писать метрики, с пониманием, что они должны отображать. Локаничные.",n/a (not applicable at this level),n/a (not applicable at this level),"Общее представление о мониторинге и инструментах:
- что такое RPS
- grafana
- micrometer
- dropwizard
- Spring Boot Actuator
- Prometheus","Базовые примитивы (micrometer в частности):
- интерфейс Meter
- MeterRegestry и CompositeMeterRegistry
Метрики:
- Timed
- Counter
- Gauge
Их различия, ситуации где какие применять.
JMX:
- что это такое
- консоль JMX (Java Mission Contorl, VisualVM)
- как пользоваться
Настройка MetricsRegistry для вывода метрик:
- в JMX
- в Prometheus","Метрики:
- LongTaskTimer
- FunctionCounter
- FunctionTimer
- именование метрик
- тегирование метрик","Представление метрик:
- перцентили
- гитограммы
Влияние DistributionSummary на потребляемую память
Моделироание графиков в Grafana:
- функции Prometheus/Grafana
- тайм-серии
- способы усреднения значений
Spring Boot Actuator:
- настройка
- параметры для включения distributed представления своих метрик","Методы моделирования метрик
- RED
- USE
Их различия. Для каких представлений они используются
Выбор ключевого показателя RED метрик (т.е. что является основной характеристикой работы вашего модуля)
Моделирование бизнесовых метрик модуля (полезного функционала)
Spring Boot Actuator - Health метрики:
- существующие
- способы создания своих health-check-ов
","Метод Four Golden Signals:
- состав показателей
- что такое saturation, как его определять
Анализ проблем по метрикам - Sympthom vs Cause","Service Level Indictors (SLIs) &
Service Level Objectives (SLO):
- их определение для модуля
Service Level Agreement (SLA):
- что такое
- выделение бизнес-метрик модуля и определение границ SLA для них
Нагрузочне тесты для определения SLA","Site Reliability Engineering (SRE):
- что это такое
- принципы, практики, менеджмент
- реализация подходов для своего модуля совместно с командой DevOps",E2.1-E5.1,E2.1-E5.1
,,,,,,,,,,,,,E4.1,E4.2,
,Software Desing & Architecture,Domain (Undersanding Code),"Понимание предметной области. Основных объектов, аггрегатов. DDD. Предметная область за пределами команды, взаимодействие с другими предметными областями.",n/a (not applicable at this level),n/a (not applicable at this level),n/a (not applicable at this level),n/a (not applicable at this level),n/a (not applicable at this level),"Domain-Driven Design - знать общую концепцию (из книги)
- единый язык
- связь между модейлью и реализацией
- парадигмы моделирования
- изоляция предметной области
Знать предментую область своего модуля","Модель:
- ассоциации
- сущности (entity)
- объект-значение (отличия от сущности) (value-j,ject)
- службы (service) 
- модули (пакеты)
Вырашение жизненного цикла модели:
- агрегаты (agregate, agregate-root)
- фабрики (fabric)
- хранилища (repository)
Как работает fabric и repository с агрегатом
Корень агрегата
Представлять предметную область своего модуля в терминах DDD (выше)","Применение DDD в области:
- отделение сущностей от значений
- проектирование ассоциаций
- границы агрегатов
- выбор хранилищ
- создание объектов (фабрики)","Рефакторинг по модели: 
- уровни рефакторинга 
- извлечение понятий и изучении предметной области 
- моделирование неочевилных понятий 
- шаблон ""Cпецификация"" 
Анализ и применение на практике: 
- информативные интерфейсы 
- функции без побочных эффектов 
- утверждения (assertions) 
- понятие замкнутости операций 
- выдление неявных понятий 
- выделение поддоменов (в больших областях) 
- изолирование классов (низкая внешняя зависимость)","Шаблоны совместной разработки доменной модели:
- общее ядро
- заказчик-поставщик
- конформист
Интеграция с другими доменами:
- предохранительный уровень","Стратегии построения контекстов
Стратегическое проектирование - 6 принципов принятия решения
Дисциляция - улучшение модели и понятий:
- смысловое ядро
- схематическое ядро
- связные механизмы
- выделенное ядро
- абстрактное ядро
- выбор целей рефакторинга","Построение DDD модели предментной области.
Непрерывное улучшение модели по принципам  DDD.
Обучение команды"
,,,,,,,,,,,,,E4.1,E.4.2,E.4.1-E4.3
,,Software Architecture,"Различные принципы/методологии/модели/архитектуры/архитектуры взимодействий. По мере роста компетенции.
Идемпотентность и обаботка запросов/сообщений, RedLock, Transactional Outbox, Event Driven Architecture, Отложеннакя консистентность
CAP - теорема. SAGA. Паттерны взаимодействия корпоративных приложений",n/a (not applicable at this level),n/a (not applicable at this level),n/a (not applicable at this level),n/a (not applicable at this level),"Optimistic Lock
Pessimistic Lock
Clean Architecture - знание:
- что такое
- какие слои есть
- направление потока данных
- направление зависимостей в слоях","Что такое:
- Monolithic Architecure
- Service Oriented Architecture
- Microservices Architecture
Основные термины, участники, способы взаимодействия. Плюсы и минусы подходов.
Clean Architecture - часто применяет","Паттерны микросервисной архитектуры, группам и что в них входит:
- Decomposition
- Data management
- Cross cutting concerns
- Communication style (Idempotent Consumer в частности)
Clean Architecture - постоянно применяет","Паттерны микросервисной архитектуры:
- External API (API Gateway)
- Observability
- Service discovery
- Communication style (более глубоко)
- Idempotent Consumer - еще раз и реальные применения
- Reliability
- Security","Event-Driven Architecture:
- Концепция
- Пример реализации внутри сервиса
- Пример реализации при межсервисоном взаимодействии
- Eventual consistency
- SAGA
- Transactional Outbox
- Transactional log tailing
- Polling publisher","Паттерны микросервисной архитектуры:
- Deployment patterns (serverless в частности)","Event Sourcing - идея, подход, поток данных CQRS Domain Event","Pipeline Architecture
Serverless
Шаблоны интеграции корпоративных приложений
Single Point of Failure (SOPF) - их выявление в системе, анализ и предложения по устранению"
,,,,,,,,,,,,E3.1-E3.2,,E4.3,
,,Highload,"Классы нагрузок и шаблонов решения - отложенные задачи, шардирование, CQRS и т.д. (см. Highload Junior)",,,,,,,,,,,,
,Security,Security,"Опасные конструкции кода, безопасность api, взаимодействие с серверами авторизации, протоколы OAuth2, OpenId Connect. Их отличия, терминология. Дизайн перимтов/атрибутов своих модулей. Понимание и применение ABAC модели. Понимание различия RBAC, Permits, ABAC, ACL. HTTPS, CORS. Spring Security, Spring Boot Security, Тестирование безопасности в модулей Spring Security Test.",n/a (not applicable at this level),n/a (not applicable at this level),n/a (not applicable at this level),"Authentication vs Authorization - что означает и в чем отличие
Spring Security:
- роли в Spring и @Secured аннотация
- как использоавть @Secured
Basic authentication - протокол, как работает","Spring Security (базовый принцип):
- Filter и FilterChain - как работают
- DelegatingFilterProxy - для чего используется
- FilterChainProxy и SecurityFilterChain (там где начинает работать Spring Security)
- FilterChainProxy и маппинг запросов
- влияение порядка обработки
- Security Exceptions (ExceptionTranslationFilter) - как работает, как перехватывает исключения","Аутентификация (компоненты):
- SecurityContextHolder - иерархия и назвначение (SecurityContext, Authentication, Principal, Credentials, Authorities)
- другие компоненты и их назначение
- GrantedAuthority (roles, scopes) - высоко-уровневые доступы
- AuthenticationManager vs ProviderManager (асбтракция и реализация)
- AuthenticationProvider - для чего используется, место в иерархии механизма
- AuthenticationEntryPoint - для чего, как работает, может быть несколько","AuthenticationProvider
- и варианты провайдеров аутентификации (в общих чертах в Spring - username/password, SAML, CAS, JAAS, OAuth2, X.509)
AbstractAuthenticationProcessingFilter
 - как учавствует в процессе, каки есть реализации:
- на основе username/password (login page, base, digest)
- из бд (in-memory, jdbs, UserDetailsService, LDAP)
Pre-Authentication
- сценарий использования, принцип работы, понимание на примере с Request-Header","Авторизация:
- AccessDecisionManager мехнизм работы
- реализации Consensus vs Affirmative vs Unanimous
- голосования AccessDecisionVouter - принцип работы (пример с RoleVouter)
Consurrency:
- SecurityContext существует только в текущем потоке
- вспомогательные классы для поддержки Concurrency (DelegatingSecurityContextCallable, runnable, executor, scheduler...)","Протокол OAuth2:
- участники (user, client, auth-server, resource)
- 4 варианта, под какие кейсы подходят
- refresh token - принцип
- scopes что такое
OpenID Connect:
- отличия от OAuth2
- что определяет из OAuth2
- какие есть реализации OpenID Provider-ов
ACL vs RBAC vs ABAC","EBAC (Expression based access control) в Spring:
- встроенные выражения (hasRole, hasAuthority, hasPermission)
- как передавать параметры в ebac (встроенные principal и authentication, @P аннотация)
- @PreAuthorize с hasPermission и кастомная реализация PermissionEvaluator
ABAC:
- стандарт XCAML - принцип, иерархия объектов",E2.2-E5.1,E2.2-E5.1
Delivery,,"Оценка, декомпозиция","Декомпозиция, оценка, приоритезация. ""Оценка в рамках задачи, функционала, крупной фичи (эпик), при крос-взаимодействии. Статусы задачи в jira, понимание и работа с workflow задач (разработка, передача в тест, багтесты, хотфиксы в jira)
Ресерч - выбор решений из нескольких
https://github.com/tlbootcamp/tlroadmap/blob/master/skills/administrator/task-inbox.md""",,,,,,,,,,,,
,,Code Review Process,Cross-review,,,,,,,,,,,,
,,Gitlab CI,"Успешные прохождения pipeline, quality gate.",,,,,,,,,,,,
Soft Skills (Lead),Processes & Standards,,,n/a (not applicable at this level),"Уточнение всего с техническим наставником: инициативы, решения, вопросы и т.д.",n/a (not applicable at this level),n/a (not applicable at this level),n/a (not applicable at this level),Сопровождение outsource проектов,Инициативо по изменению технологий и правил разработки,,,Проработка стандартов и правил разработки,Разбор инцидентов и проработанные способы их предотвращения,E2.2-E5.1
,Technical Initiatives,Improvements,,n/a (not applicable at this level),n/a (not applicable at this level),n/a (not applicable at this level),Инициатива по развитию и внедрению своего проекта (конкретные задачи/решения взятые в работу),Разработка универсальных и полезных решений в своем проекте,,Инициирование внедрения технических решений в другие проекты (по согласованию с архитекторами),,,E1.1-E3.2,E1.1-E3.2,E1.1-E3.2
,,Techcome,,n/a (not applicable at this level),n/a (not applicable at this level),n/a (not applicable at this level),n/a (not applicable at this level),"- Инициирование обсуждений на техкомах с предложениями решений (учитываются взятые в работу по согласованию с архитекторами)
- Проведение техкомов на технические темы (результаты применения новых инструментов, подходов)",,E3.1-E3.2,E3.1-E3.2,E3.1-E3.2,E3.1-E3.2,E3.1-E3.2,E3.1-E3.2
,Mentoring,Mentoring,,n/a (not applicable at this level),n/a (not applicable at this level),n/a (not applicable at this level),n/a (not applicable at this level),Наставничество в своей команде,,Наставничество в других командах,,,"Развитие и обучение сотрудников:
- рекомендации по изучению технологий
- проведение семинаров / техкомов / консультаций
- сбор обратной связи по знаниям
",,
,,Certification,,n/a (not applicable at this level),n/a (not applicable at this level),n/a (not applicable at this level),n/a (not applicable at this level),n/a (not applicable at this level),n/a (not applicable at this level),n/a (not applicable at this level),Проведение аттестаций,,E4.2-E4.3,E4.2-E4.3,E4.2-E4.3
,,,,,,,,,,,,,,,
Soft Skills,,,,,,,,,,,,,,,
,,№,"Фундаментальные компетенции 
(минимальные требования)",,,,,,,,,,,,
