,Debugging & Observability,Debugging,"Умение пользоваться инструментами IDE, Логи, аггрегатор ошибок, трассировка, мониторинг, профилирование, pgbadger. Разные виды багов и методы их выявления. Понимать по набору данных от инструментов причины ошибок","Использовать простые инструменты IDE:
- breackpoint
- навигация по коду при отладке:
-- step over
-- step in
-- step out
- watches","Поиск причин, а не лечение симптомов
Использовать простые инструменты IDE:
- breackpoint с условиями
- изменение значений переменных в runtime
- сброс фрейма","Поиск причин, а не лечение симптомов
- писать локаничные debug логи с выводом состояний (значений параметров)
- вывод и чтение stacktrace","Поиск причин, а не лечение симптомов:
- проверки (Assertions) состояний переменных и инвариантов при написании кода
","Поиск причин, а не лечение симптомов
- подход бинарного поиска (делим код на 2 части, дебажим одну, дальше делим часть в которой нашли еще на 2)
- подход упрощения проблемы - убираем части кода, в которых нет бага. Пример fun f() = (g();h();k()) убираем вызовы g и h, так как баг проявляется в k. И так далее в глубину
- использование типизации (type hinting) в коде","Поиск причин, а не лечение симптомов
- подход кластеризации багов - множество багов можно классифицировать по общим признакам. Таким образом можно проверять только по одному багу из каждого класса
- использование инструмента аггргации и классификаци багов sentry.io","Поиск причин, а не лечение симптомов
- использование инструментов трассировки запросов для поиска проблем при межмодульном взаимодействии (pinpoint, zipkin, jaeger)
- jmx - поиск причин блокировки потоков и ожидания потоков и этих мест по stacktrace
- поиск проблем и оптимизации SQL запросов к БД","Поиск причин, а не лечение симптомов
- использование метрик grafana для комплексного диагностирование проблем
- влияние RAM, LA, RPS друг на друга - корреляция отклонений и анализ причины по корреляции
Комплексное применение инструментов мониторинга и отладки:
- debugger (xDebug)
- логи (файлы и ELK)
- трассировка запросов (zipkin, jaeger)
- профилирование кода (XHProf)
- метрики (Grafana)
- аггрегатор ошибок (sentry)
- оптимизация SQL (pgBadger)",E1.1-E4.2,E1.1-E4.2,E1.1-E4.2,E1.1-E4.2
,,Observability,"Всё что касается мониторинга/метрик. Понимание где нужно Gauge, где Timed, их отличия. Что такое RED/USE/Four Golden Signals. Что такое SLA бизнес-функционала. Правильно писать метрики, с пониманием, что они должны отображать. Локаничные.",n/a (not applicable at this level),n/a (not applicable at this level),"Общее представление о мониторинге и инструментах:
- что такое RPS
- grafana
- Prometheus","Метрики:
- Timed
- Counter
- Gauge
Их различия, ситуации где какие применять.
Настройка модуля для вывода метрик:
- в Prometheus","Метрики:
- именование метрик
- тегирование метрик","Представление метрик:
- перцентили
- гитограммы
Моделирование графиков в Grafana:
- функции Prometheus/Grafana
- тайм-серии
- способы усреднения значений
","Методы моделирования метрик
- RED
- USE
Их различия. Для каких представлений они используются
Выбор ключевого показателя RED метрик (т.е. что является основной характеристикой работы вашего модуля)
Моделирование бизнесовых метрик модуля (полезного функционала)
Health метрики:
- существующие
- способы создания своих health-check-ов
","Метод Four Golden Signals:
- состав показателей
- что такое saturation, как его определять
Анализ проблем по метрикам - Sympthom vs Cause

Service Level Indictors (SLIs) & Service Level Objectives (SLO):
- их определение для модуля
Service Level Agreement (SLA):
- что такое
- выделение бизнес-метрик модуля и определение границ SLA для них
Нагрузочне тесты для определения SLA",,"Site Reliability Engineering (SRE):
- что это такое
- принципы, практики, менеджмент
- реализация подходов для своего модуля совместно с командой DevOps",E2.1-E5.1,E2.1-E5.1
,Software Desing & Architecture,Domain (Understanding Code),"Понимание предметной области. Основных объектов, аггрегатов. DDD. Предметная область за пределами команды, взаимодействие с другими предметными областями.",n/a (not applicable at this level),n/a (not applicable at this level),n/a (not applicable at this level),n/a (not applicable at this level),n/a (not applicable at this level),"Domain-Driven Design - знать общую концепцию (из книги)
- единый язык
- связь между моделью и реализацией
- парадигмы моделирования
- изоляция предметной области
Знать предментую область своего модуля","Модель:
- ассоциации
- сущности (entity)
- объект-значение (отличия от сущности) (value-j,ject)
- службы (service) 
- модули (пакеты)
Вырашение жизненного цикла модели:
- агрегаты (agregate, agregate-root)
- фабрики (fabric)
- хранилища (repository)
Как работает fabric и repository с агрегатом
Корень агрегата
Представлять предметную область своего модуля в терминах DDD (выше)","Применение DDD в области:
- отделение сущностей от значений
- проектирование ассоциаций
- границы агрегатов
- выбор хранилищ
- создание объектов (фабрики)","Рефакторинг по модели: 
- уровни рефакторинга 
- извлечение понятий и изучении предметной области 
- моделирование неочевидных понятий 
- шаблон ""Cпецификация"" 
Анализ и применение на практике: 
- информативные интерфейсы 
- функции без побочных эффектов 
- утверждения (assertions) 
- понятие замкнутости операций 
- выдление неявных понятий 
- выделение поддоменов (в больших областях) 
- изолирование классов (низкая внешняя зависимость)","Шаблоны совместной разработки доменной модели:
- общее ядро
- заказчик-поставщик
- конформист
Интеграция с другими доменами:
- предохранительный уровень","Стратегии построения контекстов
Стратегическое проектирование - 6 принципов принятия решения
Дисциляция - улучшение модели и понятий:
- смысловое ядро
- схематическое ядро
- связные механизмы
- выделенное ядро
- абстрактное ядро
- выбор целей рефакторинга","Построение DDD модели предментной области.
Непрерывное улучшение модели по принципам  DDD.
Обучение команды"
,,Software Architecture,"Различные принципы/методологии/модели/архитектуры/архитектуры взимодействий. По мере роста компетенции.
Идемпотентность и обаботка запросов/сообщений, RedLock, Transactional Outbox, Event Driven Architecture, Отложеннакя консистентность
CAP - теорема. SAGA. Паттерны взаимодействия корпоративных приложений",n/a (not applicable at this level),n/a (not applicable at this level),n/a (not applicable at this level),n/a (not applicable at this level),"Optimistic Lock
Pessimistic Lock
Clean Architecture - знание:
- что такое
- какие слои есть
- направление потока данных
- направление зависимостей в слоях","Что такое:
- Monolithic Architecure
- Service Oriented Architecture
- Microservices Architecture
Основные термины, участники, способы взаимодействия. Плюсы и минусы подходов.
Clean Architecture - часто применяет","Паттерны микросервисной архитектуры, группам и что в них входит:
- Decomposition
- Data management
- Cross cutting concerns
- Communication style (Idempotent Consumer в частности)
Clean Architecture - постоянно применяет","Event-Driven Architecture:
- Концепция
- Пример реализации внутри сервиса
- Пример реализации при межсервисоном взаимодействии
",,"Паттерны микросервисной архитектуры:
- Deployment patterns (serverless в частности)
- External API (API Gateway)
- Observability
- Service discovery
- Communication style (более глубоко)
- Idempotent Consumer - еще раз и реальные применения
- Reliability
- Security","Event Sourcing - идея, подход, поток данных CQRS Domain Event","Pipeline Architecture
Serverless
Шаблоны интеграции корпоративных приложений
Single Point of Failure (SOPF) - их выявление в системе, анализ и предложения по устранению"
,,Highload,"Классы нагрузок и шаблонов решения - отложенные задачи, шардирование, CQRS и т.д. (см. Highload Junior)",,,,,,,,,,,,
,Security,Security,"Опасные конструкции кода, безопасность api, взаимодействие с серверами авторизации, протоколы OAuth2, OpenId Connect. Их отличия, терминология. Дизайн перимтов/атрибутов своих модулей. Понимание и применение ABAC модели. Понимание различия RBAC, Permits, ABAC, ACL. HTTPS, CORS.",n/a (not applicable at this level),Хеширование паролей,"SQL инъекции
HTTPS","Authentication vs Authorization - что означает и в чем отличие
Basic authentication - протокол, как работает","RBAC - как работает, основные принципы
Внедрение кода (известно как удалённое включение файла, Remote File Inclusion)","Межсайтовый скриптинг (XSS)
DDOS, подбор паролей - какие есть средства защиты","Виды авторизации для API
roave/security-advisories
Как защитить свой код, как проверить код на безопасность?","Протокол OAuth2:
- участники (user, client, auth-server, resource)
- 4 варианта, под какие кейсы подходят
- refresh token - принцип
- scopes что такое
OpenID Connect:
- отличия от OAuth2
- что определяет из OAuth2
- какие есть реализации OpenID Provider-ов
ACL vs RBAC vs ABAC",E1.1-E4.2,E2.2-E4.3,E2.2-E4.3,E2.2-E4.3
Delivery,,"Оценка, декомпозиция","Декомпозиция, оценка, приоритезация. ""Оценка в рамках задачи, функционала, крупной фичи (эпик), при крос-взаимодействии. Статусы задачи в jira, понимание и работа с workflow задач (разработка, передача в тест, багтесты, хотфиксы в jira)
Ресерч - выбор решений из нескольких
https://github.com/tlbootcamp/tlroadmap/blob/master/skills/administrator/task-inbox.md""",,,,,,,,,,,,
,,Code Review Process,Cross-review,,,,,,,,,,,,
,,Gitlab CI,"Успешные прохождения pipeline, quality gate.",,,,,,,,,,,,
Soft Skills,Processes & Standards,,,n/a (not applicable at this level),"Уточнение всего с техническим наставником: инициативы, решения, вопросы и т.д.",n/a (not applicable at this level),n/a (not applicable at this level),n/a (not applicable at this level),Сопровождение outsource проектов,Инициативо по изменению технологий и правил разработки,,,Проработка стандартов и правил разработки,Разбор инцидентов и проработанные способы их предотвращения,E2.2-E5.1
,Technical Initiatives,Impruvements,,n/a (not applicable at this level),n/a (not applicable at this level),n/a (not applicable at this level),Инициатива по развитию и внедрению своего проекта (конкретные задачи/решения взятые в работу),Разработка универсальных и полезных решений в своем проекте,,Инициирование внедрения технических решений в другие проекты (по согласованию с архитекторами),,,E1.1-E3.2,E1.1-E3.2,E1.1-E3.2
,,Techcome,,n/a (not applicable at this level),n/a (not applicable at this level),n/a (not applicable at this level),n/a (not applicable at this level),"- Инициирование обсуждений на техкомах с предложениями решений (учитываются взятые в работу по согласованию с архитекторами)
- Проведение техкомов на технические темы (результаты применения новых инструментов, подходов)",,E3.1-E3.2,E3.1-E3.2,E3.1-E3.2,E3.1-E3.2,E3.1-E3.2,E3.1-E3.2
,Mentoring,Mentoring,,n/a (not applicable at this level),n/a (not applicable at this level),n/a (not applicable at this level),n/a (not applicable at this level),Наставничество в своей команде,,Наставничество в других командах,,,"Развитие и обучение сотрудников:
- рекомендации по изучению технологий
- проведение семинаров / техкомов / консультаций
- сбор обратной связи по знаниям
",,
,,Certification,,n/a (not applicable at this level),n/a (not applicable at this level),n/a (not applicable at this level),n/a (not applicable at this level),n/a (not applicable at this level),n/a (not applicable at this level),Проведение аттестаций,,,E4.2-E4.3,E4.2-E4.3,E4.2-E4.3
